FileName 	 Object 	 Filter1

ESO549-002-h02.fits ESO549-002-h02.fits Ha
ESO549-002-h03.fits ESO549-002-h03.fits Ha
ESO549-002-h04.fits ESO549-002-h04.fits Ha
ESO549-002-h05.fits ESO549-002-h05.fits Ha
ESO549-002-h06.fits ESO549-002-h06.fits Ha
ESO549-002-h07.fits ESO549-002-h07.fits Ha
ESO549-002-r01.fits ESO549-002-r01.fits R
ESO549-002-r02.fits ESO549-002-r02.fits R
ESO549-002-r03.fits ESO549-002-r03.fits R
ESO549-002-r04.fits ESO549-002-r04.fits R
ESO549-002-r05.fits ESO549-002-r05.fits R
Mrk627-SII01.fits Mrk627-SII01.fits SII
Mrk627-SII02.fits Mrk627-SII02.fits SII
Mrk627-SII03.fits Mrk627-SII03.fits SII
Mrk627-SII04.fits Mrk627-SII04.fits SII
Mrk627-SII05.fits Mrk627-SII05.fits SII
Mrk627-SII06.fits Mrk627-SII06.fits SII
Mrk627-SII07.fits Mrk627-SII07.fits SII
Mrk627-SII08.fits Mrk627-SII08.fits SII
Mrk627-SII09.fits Mrk627-SII09.fits SII
Mrk627-SII10.fits Mrk627-SII10.fits SII
Mrk627-SII11.fits Mrk627-SII11.fits SII
Mrk627-SII12.fits Mrk627-SII12.fits SII
Mrk627-SII13.fits Mrk627-SII13.fits SII
Mrk627-SII14.fits Mrk627-SII14.fits SII
Mrk627-SII15.fits Mrk627-SII15.fits SII
Mrk627-SII16.fits Mrk627-SII16.fits SII
Mrk627-SII17.fits Mrk627-SII17.fits SII
Mrk627-SII18.fits Mrk627-SII18.fits SII
Mrk627-SII19.fits Mrk627-SII19.fits SII
Mrk627-SII20.fits Mrk627-SII20.fits SII
Mrk627-r01.fits Mrk627-r01.fits R
Mrk627-r02.fits Mrk627-r02.fits R
Mrk627-r03.fits Mrk627-r03.fits R
Mrk627-r04.fits Mrk627-r04.fits R
Mrk627-r05.fits Mrk627-r05.fits R
Mrk627-r06.fits Mrk627-r06.fits R
Mrk627-r07.fits Mrk627-r07.fits R
Mrk627-r08.fits Mrk627-r08.fits R
Mrk627-r09.fits Mrk627-r09.fits R
Mrk627-r10.fits Mrk627-r10.fits R
bias-01.fits BIAS FREE
bias-02.fits BIAS FREE
bias-03.fits BIAS FREE
bias-04.fits BIAS FREE
bias-05.fits BIAS FREE
bias-06.fits BIAS FREE
bias-07.fits BIAS FREE
bias-08.fits BIAS FREE
bias-09.fits BIAS FREE
bias-10.fits BIAS FREE
bias-11.fits BIAS FREE
bias-12.fits BIAS FREE
bias-13.fits BIAS FREE
flat-SII01.fits flat-SII01.fits SII
flat-SII02.fits flat-SII02.fits SII
flat-SII03.fits flat-SII03.fits SII
flat-SII04.fits flat-SII04.fits SII
flat-SII05.fits flat-SII05.fits SII
flat-h01.fits flat-h01.fits Ha
flat-h02.fits flat-h02.fits Ha
flat-h03.fits flat-h03.fits Ha
flat-h04.fits flat-h04.fits Ha
flat-h05.fits flat-h05.fits Ha
flat-r01.fits flat-r01.fits R
flat-r02.fits flat-r02.fits R
flat-r03.fits flat-r03.fits R
flat-r04.fits flat-r04.fits R
flat-r05.fits flat-r05.fits R
