S-2020APXX-2020-06-07T16:09:59.000-DFOT-2K_IMG1.fits 185.3740051059648 28.23248109989729 R 	 astrometry successful
S-2020APXX-2020-06-07T17:23:35.000-DFOT-2K_IMG1.fits 185.37272479260088 28.223940608603666 R 	 astrometry successful
S-2020APXX-2020-06-07T17:26:39.891-DFOT-2K_IMG1.fits 185.3720967445965 28.22352611360513 R 	 astrometry successful
S-2020APXX-2020-06-07T17:35:54.564-DFOT-2K_IMG1.fits 185.369797792251 28.222178813337433 R 	 astrometry successful
S-2020APXX-2020-06-07T17:42:04.346-DFOT-2K_IMG1.fits 185.36827003002097 28.22142851236418 R 	 astrometry successful
S-2020APXX-2020-06-07T17:51:19.019-DFOT-2K_IMG1.fits 185.3661904955622 28.220110474476904 R 	 astrometry successful
S-2020APXX-2020-06-07T17:55:28.000-DFOT-2K_IMG1.fits 185.3654887407055 28.21953415560456 R 	 astrometry successful
S-2020APXX-2020-06-07T15:45:43.000-DFOT-2K_IMG1.fits 185.37613119448054 28.219599733209947 V 	 astrometry successful
S-2020APXX-2020-06-07T16:05:35.000-DFOT-2K_IMG1.fits 185.3750528440175 28.225605939531224 V 	 astrometry successful
S-2020APXX-2020-06-07T18:13:58.000-DFOT-2K_IMG1.fits 238.9318273988812 11.183949486621167 R 	 astrometry successful
S-2020APXX-2020-06-07T18:36:38.000-DFOT-2K_IMG1.fits 238.9317920637262 11.182233536132843 R 	 astrometry successful
S-2020APXX-2020-06-07T18:43:44.000-DFOT-2K_IMG1.fits 238.93148692508808 11.181645542576067 R 	 astrometry successful
S-2020APXX-2020-06-07T18:55:46.000-DFOT-2K_IMG1.fits 238.93036095409914 11.180772371791344 R 	 astrometry successful
S-2020APXX-2020-06-07T19:06:33.000-DFOT-2K_IMG1.fits 238.92750018748552 11.179929233988252 R 	 astrometry successful
S-2020APXX-2020-06-07T19:16:27.000-DFOT-2K_IMG1.fits 238.92462612869912 11.179219965760472 R 	 astrometry successful
S-2020APXX-2020-06-07T19:26:35.000-DFOT-2K_IMG1.fits 238.9220748720966 11.17849293777749 R 	 astrometry successful
S-2020APXX-2020-06-07T19:37:23.000-DFOT-2K_IMG1.fits 238.91901155048203 11.17764561527048 R 	 astrometry successful
S-2020APXX-2020-06-07T19:47:29.000-DFOT-2K_IMG1.fits 238.9165714908388 11.176804784448056 R 	 astrometry successful
S-2020APXX-2020-06-07T19:57:26.000-DFOT-2K_IMG1.fits 238.91379746541156 11.176008926578671 R 	 astrometry successful
S-2020APXX-2020-06-07T18:58:14.000-DFOT-2K_IMG1.fits 238.92956670947177 11.180689968012976 V 	 astrometry successful
S-2020APXX-2020-06-07T19:08:49.000-DFOT-2K_IMG1.fits 238.92658525944532 11.179883965201203 V 	 astrometry successful
S-2020APXX-2020-06-07T19:13:45.000-DFOT-2K_IMG1.fits 238.9251180043976 11.179523452252079 V 	 astrometry successful
S-2020APXX-2020-06-07T19:23:51.000-DFOT-2K_IMG1.fits 238.9224454006981 11.178719447013485 V 	 astrometry successful
S-2020APXX-2020-06-07T19:39:34.000-DFOT-2K_IMG1.fits 238.91828469351188 11.177549803460941 V 	 astrometry successful
S-2020APXX-2020-06-07T19:49:43.000-DFOT-2K_IMG1.fits 238.91581509333358 11.176707776092485 V 	 astrometry successful
S-2020APXX-2020-06-07T19:54:38.000-DFOT-2K_IMG1.fits 238.9144853322106 11.176322540042799 V 	 astrometry successful
S-2020APXX-2020-06-07T18:17:07.000-DFOT-2K_IMG1.fits 238.93166282921695 11.18377091702356 V 	 astrometry successful
B-2020APXX-2020-06-07T14:37:53.000-DFOT-2K_IMG1.fits calibration file only!
B-2020APXX-2020-06-07T14:38:12.000-DFOT-2K_IMG1.fits calibration file only!
B-2020APXX-2020-06-07T14:33:49.000-DFOT-2K_IMG1.fits calibration file only!
B-2020APXX-2020-06-07T14:34:32.000-DFOT-2K_IMG1.fits calibration file only!
B-2020APXX-2020-06-07T14:35:05.000-DFOT-2K_IMG1.fits calibration file only!
B-2020APXX-2020-06-07T14:36:17.000-DFOT-2K_IMG1.fits calibration file only!
B-2020APXX-2020-06-07T14:36:36.000-DFOT-2K_IMG1.fits calibration file only!
B-2020APXX-2020-06-07T14:36:54.000-DFOT-2K_IMG1.fits calibration file only!
B-2020APXX-2020-06-07T14:37:33.000-DFOT-2K_IMG1.fits calibration file only!
S-2020APXX-2020-06-07T15:50:10.000-DFOT-2K_IMG1.fits 185.37444809227017 28.219016916774134 NULL 	 astrometry successful
S-2020APXX-2020-06-07T16:28:21.891-DFOT-2K_IMG1.fits 185.3685388810102 28.230770098480836 B 	 astrometry successful
S-2020APXX-2020-06-07T16:32:26.782-DFOT-2K_IMG1.fits 185.36726012447465 28.23037403433783 B 	 astrometry successful
S-2020APXX-2020-06-07T16:40:36.564-DFOT-2K_IMG1.fits 185.36469225931413 28.22949119197781 B 	 astrometry successful
S-2020APXX-2020-06-07T17:29:44.782-DFOT-2K_IMG1.fits 185.3713610007453 28.223077723215706 R 	 astrometry successful
S-2020APXX-2020-06-07T17:38:59.455-DFOT-2K_IMG1.fits 185.36909535048733 28.221762223141177 R 	 astrometry successful
S-2020APXX-2020-06-07T17:45:09.237-DFOT-2K_IMG1.fits 185.3675533850136 28.221024470689915 R 	 astrometry successful
S-2020APXX-2020-06-07T15:36:53.000-DFOT-2K_IMG1.fits 185.37813505172716 28.219620895651037 I 	 astrometry successful
S-2020APXX-2020-06-07T15:55:54.000-DFOT-2K_IMG1.fits 185.3734700546676 28.21821477155299 R 	 astrometry successful
S-2020APXX-2020-06-07T16:45:41.000-DFOT-2K_IMG1.fits 185.3632506325564 28.228885695182132 R 	 astrometry successful
S-2020APXX-2020-06-07T16:36:31.673-DFOT-2K_IMG1.fits 185.36597363121933 28.229865067103734 B 	 astrometry successful
S-2020APXX-2020-06-07T16:02:34.000-DFOT-2K_IMG1.fits 185.37462812840417 28.218078753540414 R 	 astrometry successful
S-2020APXX-2020-06-07T15:42:13.000-DFOT-2K_IMG1.fits 185.37290164149672 28.21893371444248 R 	 astrometry successful
S-2020APXX-2020-06-07T19:03:42.000-DFOT-2K_IMG1.fits 238.92819222828456 11.180238401202612 V 	 astrometry successful
S-2020APXX-2020-06-07T17:32:49.673-DFOT-2K_IMG1.fits 185.37055365047743 28.222601673169315 R 	 astrometry successful
S-2020APXX-2020-06-07T19:34:37.000-DFOT-2K_IMG1.fits 238.9197093538735 11.177905881445296 V 	 astrometry successful
S-2020APXX-2020-06-07T19:18:51.000-DFOT-2K_IMG1.fits 238.9239844025032 11.17916792547944 V 	 astrometry successful
S-2020APXX-2020-06-07T19:28:49.000-DFOT-2K_IMG1.fits 238.92139272707152 11.178425086504806 V 	 astrometry successful
S-2020APXX-2020-06-07T17:48:14.128-DFOT-2K_IMG1.fits 185.36693237426613 28.22057194924368 R 	 astrometry successful
S-2020APXX-2020-06-07T19:44:45.000-DFOT-2K_IMG1.fits 238.91700643320246 11.177146008381765 V 	 astrometry successful
S-2020APXX-2020-06-07T16:17:49.000-DFOT-2K_IMG1.fits 185.3719400723715 28.231774126299797 R 	 astrometry successful
S-2020APXX-2020-06-07T15:58:53.000-DFOT-2K_IMG1.fits 185.37305173009443 28.218073510180282 V 	 astrometry successful
S-2020APXX-2020-06-07T16:13:28.000-DFOT-2K_IMG1.fits 185.37314847275323 28.23231197458582 V 	 astrometry successful
S-2020APXX-2020-06-07T18:22:27.000-DFOT-2K_IMG1.fits 238.93157521019214 11.183409231414881 B 	 astrometry successful
S-2020APXX-2020-06-07T18:10:33.000-DFOT-2K_IMG1.fits 238.93175321310332 11.18438724786734 I 	 astrometry successful
S-2020APXX-2020-06-07T18:28:57.000-DFOT-2K_IMG1.fits 238.9317026481956 11.18274038339978 R 	 astrometry successful
S-2020APXX-2020-06-07T18:49:28.000-DFOT-2K_IMG1.fits 238.93116632165916 11.181258332205926 R 	 astrometry successful
S-2020APXX-2020-06-07T19:01:21.000-DFOT-2K_IMG1.fits 238.9289236542435 11.18033610501671 R 	 astrometry successful
S-2020APXX-2020-06-07T19:11:31.000-DFOT-2K_IMG1.fits 238.92598296274068 11.179602469905191 R 	 astrometry successful
S-2020APXX-2020-06-07T19:59:42.000-DFOT-2K_IMG1.fits 238.91296022078058 11.175928371333924 V 	 astrometry successful
S-2020APXX-2020-06-07T19:21:36.000-DFOT-2K_IMG1.fits 238.9233099225976 11.178817353350121 R 	 astrometry successful
S-2020APXX-2020-06-07T19:32:17.000-DFOT-2K_IMG1.fits 238.92043500300994 11.17800480553729 R 	 astrometry successful
S-2020APXX-2020-06-07T18:32:41.000-DFOT-2K_IMG1.fits 238.931644015452 11.182554459294279 V 	 astrometry successful
S-2020APXX-2020-06-07T19:42:24.000-DFOT-2K_IMG1.fits 238.91780479800678 11.17724580610777 R 	 astrometry successful
S-2020APXX-2020-06-07T19:52:25.000-DFOT-2K_IMG1.fits 238.91518075446854 11.17642059913071 R 	 astrometry successful
S-2020APXX-2020-06-07T18:39:49.000-DFOT-2K_IMG1.fits 238.9316799504939 11.182043842321908 V 	 astrometry successful
S-2020APXX-2020-06-07T20:02:30.000-DFOT-2K_IMG1.fits 238.912388067513 11.175584405735421 R 	 astrometry successful
S-2020APXX-2020-06-07T18:46:15.000-DFOT-2K_IMG1.fits 238.93118179187192 11.18165391089964 V 	 astrometry successful
S-2020APXX-2020-06-07T18:52:33.000-DFOT-2K_IMG1.fits 238.93088176174268 11.181104746397018 V 	 astrometry successful
