date_time: 2023-01-21T01:32:22.000, MJD: 59964.835274852, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.470, altitude: 42.805974, azimuth: -77.354512, rotator: 105.743789, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:23.000, MJD: 59964.835283797, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.470, altitude: 42.802844, azimuth: -77.353414, rotator: 105.744681, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:24.000, MJD: 59964.835292383, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.470, altitude: 42.800052, azimuth: -77.352548, rotator: 105.745351, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:24.000, MJD: 59964.835300156, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.470, altitude: 42.798021, azimuth: -77.351774, rotator: 105.746004, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:25.000, MJD: 59964.835312912, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.470, altitude: 42.794230, azimuth: -77.350039, rotator: 105.747120, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:26.000, MJD: 59964.835321552, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.470, altitude: 42.791332, azimuth: -77.349239, rotator: 105.747883, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:27.000, MJD: 59964.835327731, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.471, altitude: 42.789319, azimuth: -77.348174, rotator: 105.748514, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:27.000, MJD: 59964.835337688, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.471, altitude: 42.785763, azimuth: -77.347013, rotator: 105.749409, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:28.000, MJD: 59964.835349297, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.471, altitude: 42.783242, azimuth: -77.345959, rotator: 105.750451, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:29.000, MJD: 59964.835356949, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.471, altitude: 42.780700, azimuth: -77.344859, rotator: 105.751008, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:30.000, MJD: 59964.835368173, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.471, altitude: 42.777068, azimuth: -77.343793, rotator: 105.752059, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:31.000, MJD: 59964.835378091, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.471, altitude: 42.774012, azimuth: -77.342461, rotator: 105.752923, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:32.000, MJD: 59964.835388466, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.471, altitude: 42.770481, azimuth: -77.341188, rotator: 105.753920, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:33.000, MJD: 59964.835399566, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.471, altitude: 42.767610, azimuth: -77.340087, rotator: 105.754676, temperature: 3.3, humidity: 21.1
date_time: 2023-01-21T01:32:34.000, MJD: 59964.835408612, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.471, altitude: 42.764044, azimuth: -77.338935, rotator: 105.755540, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:34.000, MJD: 59964.835418653, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.471, altitude: 42.761524, azimuth: -77.337671, rotator: 105.756542, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:35.000, MJD: 59964.835429914, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.471, altitude: 42.758232, azimuth: -77.336293, rotator: 105.757310, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:36.000, MJD: 59964.835438693, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.471, altitude: 42.755339, azimuth: -77.335529, rotator: 105.758270, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:37.000, MJD: 59964.835448640, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.751554, azimuth: -77.334150, rotator: 105.759058, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:38.000, MJD: 59964.835457949, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.749008, azimuth: -77.333016, rotator: 105.759894, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:39.000, MJD: 59964.835468139, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.745375, azimuth: -77.331719, rotator: 105.760886, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:40.000, MJD: 59964.835478902, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.743596, azimuth: -77.330664, rotator: 105.761705, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:41.000, MJD: 59964.835490293, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.739298, azimuth: -77.329317, rotator: 105.762753, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:42.000, MJD: 59964.835501757, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.735996, azimuth: -77.328063, rotator: 105.763637, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:42.000, MJD: 59964.835508886, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.733353, azimuth: -77.326867, rotator: 105.764631, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:43.000, MJD: 59964.835522732, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.729572, azimuth: -77.325685, rotator: 105.765480, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:44.000, MJD: 59964.835530622, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.727048, azimuth: -77.324460, rotator: 105.766277, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:45.000, MJD: 59964.835538203, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.724503, azimuth: -77.323452, rotator: 105.767183, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:46.000, MJD: 59964.835547087, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.721379, azimuth: -77.322684, rotator: 105.767720, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:47.000, MJD: 59964.835558912, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.472, altitude: 42.717819, azimuth: -77.321363, rotator: 105.768635, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:47.000, MJD: 59964.835567815, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.715040, azimuth: -77.320275, rotator: 105.769540, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:48.000, MJD: 59964.835577729, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.712154, azimuth: -77.319077, rotator: 105.770423, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:49.000, MJD: 59964.835586648, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.709369, azimuth: -77.317928, rotator: 105.771194, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:50.000, MJD: 59964.835595620, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.706353, azimuth: -77.316881, rotator: 105.771986, temperature: 3.2, humidity: 21.1
date_time: 2023-01-21T01:32:51.000, MJD: 59964.835607107, targetra: 5.71068333, targetdec: 27.66528056, airmass: 1.473, altitude: 42.703568, azimuth: -77.315886, rotator: 105.772872, temperature: 3.2, humidity: 21.0
